"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",532,8,165,3114
"GM",0,0,1,63
"Tolerant",0,0,16,665
"Vulnerable",0,0,0,333
"Unclassified",1176,58,988,4927
