"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1765,1008,2439,4334
"Tolerant",4877,14646,20127,1179
"Vulnerable",9852,19677,298722,170061
"Unclassified",2075,3515,10701,119324
