"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,0,0,1
"GM",19134,391368,459,11816
"Tolerant",382669,433451,665,23264
"Vulnerable",532,894,10173,13074
"Unclassified",4680,6291,4296,50362
