"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,152,490,1,0
"GM",0,38716,179573,39,1094
"Tolerant",9,202692,38393,101,1062
"Vulnerable",0,212,176,121,37
"Unclassified",6,1920,577,622,37574
