"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"GM",0,6935,5302,833,1354
"Tolerant",0,3957,1686,507,803
"Vulnerable",1,244,246,3141,3887
"Unclassified",0,4614,2556,65038,131798
