"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",419,1434,1912,2340,1084
"GM",149,19882,22752,2530,457
"Tolerant",329,29350,23613,4039,1578
"Vulnerable",148,1760,3107,16592,2429
"Unclassified",243,889,962,2971,68585
