"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,0,1,0,1
"GM",0,55,18,8,172
"Tolerant",0,12,36,22,49
"Vulnerable",1,10,2,3097,1306
"Unclassified",25,204,133,6089,45330
