"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,35
"GM",11223,1668,24,7898
"Tolerant",1158,339,6,1633
"Vulnerable",3153,443,215,68020
"Unclassified",4408,854,192,84995
