"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",3,2,0,2
"GM",47481,515968,187,11108
"Tolerant",587630,380608,883,12458
"Vulnerable",155,457,2984,3123
"Unclassified",7689,20574,4001,91854
