"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,2,19
"GM",1,0,10,19
"Tolerant",6,2,77,200
"Vulnerable",7,26,3507,3524
"Unclassified",130,370,24277,104048
