"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,11,31
"GM",1,4,4,2
"Tolerant",25,9219,2308,502
"Vulnerable",10,2616,116752,2548
"Unclassified",2,393,11208,65201
