"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,2,25
"GM",5869,10053,321,2768
"Tolerant",15694,14032,815,6522
"Vulnerable",983,965,29588,40594
"Unclassified",7191,6082,27216,264690
