"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1828,1164,819,1496
"Tolerant",950,30323,9901,3879
"Vulnerable",520,11041,317803,54425
"Unclassified",850,6377,122834,232043
