"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",12857,37567,877,4197
"Tolerant",30784,5778,649,1968
"Vulnerable",1150,621,198961,185596
"Unclassified",1121,1832,21890,228446
