"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2,0,0,5
"GM",48822,618199,1500,25212
"Tolerant",635178,119769,1138,20986
"Vulnerable",1286,2961,2658,4290
"Unclassified",23635,31213,3448,35247
