"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,2,4,0
"GM",0,0,3,1
"Tolerant",51,7023,277,76
"Vulnerable",48,1016,33233,6396
"Unclassified",6,374,1624,21001
