"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",64564,1943,1025,11879,52722
"GM",9230,13539,7280,1736,2064
"Tolerant",2673,5111,1972,775,2108
"Vulnerable",38868,884,402,101686,40753
"Unclassified",113728,2105,1071,31828,215695
