"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",4554,946,33879,5183
"GM",391,505,3476,479
"Tolerant",29972,4144,79999,7230
"Vulnerable",0,0,6,1
"Unclassified",3628,726,8150,27063
