"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",7,8,9,29
"GM",2771,1376,64,1265
"Tolerant",3032,661,34,677
"Vulnerable",142,136,733,6192
"Unclassified",2059,883,1905,53397
