"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2192,3974,10236,99,491
"GM",7123,258459,89919,319,3502
"Tolerant",10828,84009,118964,71,771
"Vulnerable",141,805,170,1033,3884
"Unclassified",2701,11534,3907,3956,88352
