"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",4862,199,236,2381
"GM",2319,71367,8635,24631
"Tolerant",4338,1499,3387,3133
"Vulnerable",2,31,0,215
"Unclassified",12864,11189,9556,46439
