"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,7
"GM",174,89,0,405
"Tolerant",156,7,0,153
"Vulnerable",89,10,5,11389
"Unclassified",514,126,36,38538
