"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,0,1
"GM",0,425,346,58,498
"Tolerant",1,1000,67,65,301
"Vulnerable",0,34,22,4052,8881
"Unclassified",0,263,124,15934,19626
