"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",5707,408,43447,5453
"GM",1095,221,11739,273
"Tolerant",54248,5191,135062,10257
"Vulnerable",3,0,1,9
"Unclassified",4920,333,13022,19634
