"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,2,0,0
"GM",3897,9589,142,2681
"Tolerant",11989,7737,656,5988
"Vulnerable",853,1576,26203,54088
"Unclassified",8133,7727,22719,234066
