"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",63585,1715,37783,175488
"GM",4948,1341,8349,6717
"Tolerant",27587,4770,12799,45354
"Vulnerable",1229,24,233,11284
"Unclassified",79482,2174,36455,180389
