"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,0,1
"GM",4,629,1056,141,1904
"Tolerant",3,1932,770,81,870
"Vulnerable",0,13,1,11,62
"Unclassified",33,2462,1491,7867,253246
