"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",24125,16186,5290,144,8085
"GM",16503,884458,197955,2001,11384
"Tolerant",2711,201216,77254,35,1935
"Vulnerable",233,744,280,295,504
"Unclassified",10448,25060,5634,242,48251
