"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,1,0,4
"GM",5667,92043,1226,8230
"Tolerant",83479,139427,6376,37350
"Vulnerable",231,9461,29134,23504
"Unclassified",12255,58567,28276,180810
