"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",23679,258697,2698,993
"Tolerant",246754,38840,3921,1625
"Vulnerable",8411,6031,135339,5953
"Unclassified",7058,4016,8264,256491
