"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",3981,2541,2088,166,11741
"GM",1803,11172,5072,416,3980
"Tolerant",1125,4968,2935,484,3350
"Vulnerable",867,1452,962,15,2942
"Unclassified",9127,3607,4155,163,38774
