"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",505,2736,2154,1872
"Tolerant",1631,38569,38698,5625
"Vulnerable",2534,18951,245774,54773
"Unclassified",2783,7920,60294,44770
