"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,2,15
"GM",0,16,17,8
"Tolerant",1,115,154,514
"Vulnerable",0,131,8093,16626
"Unclassified",35,1617,11707,54134
