"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",21445,33766,8102,648
"GM",1,0,0,0
"Tolerant",23570,61538,40013,2006
"Vulnerable",2270,21238,241908,74605
"Unclassified",999,2726,79493,367861
