"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",28062,9735,20921,59539
"GM",0,0,1,0
"Tolerant",8949,152925,131257,21274
"Vulnerable",9244,122612,422030,95175
"Unclassified",17271,15046,79868,279594
